Season,Round,Circuit,PoleDriver,RaceWinner,PoleFinishPosition,Lap1Position,WonFromPole
2024,1,Bahrain Grand Prix,VER,VER,1.0,1.0,True
2024,2,Saudi Arabian Grand Prix,VER,VER,1.0,1.0,True
2024,3,Australian Grand Prix,VER,SAI,19.0,1.0,False
2024,4,Japanese Grand Prix,VER,VER,1.0,1.0,True
2024,5,Chinese Grand Prix,VER,VER,1.0,1.0,True
2024,6,Miami Grand Prix,VER,NOR,2.0,1.0,False
2024,7,Emilia Romagna Grand Prix,VER,VER,1.0,1.0,True
2024,8,Monaco Grand Prix,LEC,LEC,1.0,1.0,True
2024,9,Canadian Grand Prix,RUS,VER,3.0,1.0,False
2024,10,Spanish Grand Prix,NOR,VER,2.0,3.0,False
2024,11,Austrian Grand Prix,VER,RUS,5.0,1.0,False
2024,12,British Grand Prix,RUS,HAM,19.0,1.0,False
2024,13,Hungarian Grand Prix,NOR,PIA,2.0,3.0,False
2024,14,Belgian Grand Prix,VER,HAM,4.0,9.0,False
2024,15,Dutch Grand Prix,NOR,NOR,1.0,2.0,True
2024,16,Italian Grand Prix,NOR,LEC,3.0,3.0,False
2024,17,Azerbaijan Grand Prix,LEC,PIA,2.0,1.0,False
2024,18,Singapore Grand Prix,NOR,NOR,1.0,1.0,True
2024,19,United States Grand Prix,NOR,LEC,4.0,4.0,False
2024,20,Mexico City Grand Prix,SAI,SAI,1.0,2.0,True
2024,21,São Paulo Grand Prix,NOR,VER,6.0,2.0,False
2024,22,Las Vegas Grand Prix,RUS,RUS,1.0,1.0,True
2024,23,Qatar Grand Prix,VER,VER,1.0,1.0,True
2024,24,Abu Dhabi Grand Prix,NOR,NOR,1.0,1.0,True
